title,revenue,budget,genres,release_date,original_language,profit
"I, Robot",347234916,120000000,"Action, Science Fiction",7/15/2004,en,227234916
No Country for Old Men,171627166,25000000,"Crime, Drama, Thriller",6/13/2007,en,146627166
Rise of the Planet of the Apes,482860185,93000000,"Thriller, Action, Drama, Science Fiction",8/3/2011,en,389860185
Ocean's Eleven,450717150,85000000,"Thriller, Crime",12/7/2001,en,365717150
The Sixth Sense,672806292,40000000,"Mystery, Thriller, Drama",8/6/1999,en,632806292
Scarface,66023329,25000000,"Action, Crime, Drama",12/9/1983,en,41023329
Prisoners,122126687,46000000,"Drama, Thriller, Crime",9/19/2013,en,76126687
American History X,23875127,20000000,Drama,7/1/1998,en,3875127
The Conjuring,320406242,13000000,"Horror, Thriller",7/18/2013,en,307406242
The Fault in Our Stars,307166834,14000000,"Romance, Drama",5/16/2014,en,293166834
The Notebook,115603229,29000000,"Romance, Drama",6/25/2004,en,86603229
12 Years a Slave,187000000,20000000,"Drama, History",10/18/2013,en,167000000
2001: A Space Odyssey,71923560,12000000,"Science Fiction, Mystery, Adventure",4/2/1968,en,59923560
In Time,173930596,40000000,"Action, Thriller, Science Fiction",10/27/2011,en,133930596
Aladdin,504050219,28000000,"Animation, Family, Adventure, Fantasy, Romance",11/25/1992,en,476050219
Green Book,319700000,23000000,"Drama, Comedy",11/16/2018,en,296700000
Tangled,592461732,260000000,"Animation, Family",11/24/2010,en,332461732
Cast Away,429632142,90000000,"Adventure, Drama",12/22/2000,en,339632142
X-Men,296339527,75000000,"Adventure, Action, Science Fiction",7/13/2000,en,221339527
Despicable Me 2,970761885,76000000,"Animation, Comedy, Family",6/26/2013,en,894761885
Kung Fu Panda,631744560,130000000,"Action, Adventure, Animation, Family, Comedy",6/4/2008,en,501744560
Transformers,709709780,150000000,"Adventure, Science Fiction, Action",6/27/2007,en,559709780
E.T. the Extra-Terrestrial,792965500,10500000,"Science Fiction, Adventure, Family, Fantasy",6/11/1982,en,782465500
Taken,226830568,25000000,"Action, Thriller",2/18/2008,en,201830568
Jurassic World: Fallen Kingdom,1310466296,170000000,"Action, Adventure, Science Fiction, Thriller",6/22/2018,en,1140466296
The Big Lebowski,47010480,15000000,"Comedy, Crime",3/6/1998,en,32010480
Dawn of the Planet of the Apes,710644566,170000000,"Science Fiction, Action, Drama, Thriller",6/26/2014,en,540644566
Dead Poets Society,235860116,16400000,Drama,6/2/1989,en,219460116
Fantastic Beasts: The Crimes of Grindelwald,654855901,200000000,"Fantasy, Adventure, Family",11/14/2018,en,454855901
Die Hard,140767956,28000000,"Action, Thriller",7/15/1988,en,112767956
Now You See Me 2,334901337,90000000,"Crime, Thriller, Action, Mystery",6/2/2016,en,244901337
Home Alone,476684675,18000000,"Comedy, Family",11/16/1990,en,458684675
The Matrix Reloaded,738599701,150000000,"Adventure, Action, Thriller, Science Fiction",5/15/2003,en,588599701
Madagascar,542063846,75000000,"Family, Animation, Adventure, Comedy",5/25/2005,en,467063846
The Theory of Everything,123726688,15000000,"Drama, Romance",11/26/2014,en,108726688
Nightcrawler,50300000,8500000,"Crime, Drama, Thriller",10/23/2014,en,41800000
Fast & Furious 6,788680968,160000000,"Action, Thriller, Crime",5/21/2013,en,628680968
Oblivion,286168572,120000000,"Action, Science Fiction, Adventure, Mystery",4/10/2013,en,166168572
Bruce Almighty,484592874,80000000,"Fantasy, Comedy",5/23/2003,en,404592874
Gran Torino,269958228,33000000,Drama,12/12/2008,en,236958228
Furious 7,1515341399,190000000,"Action, Thriller, Crime",4/1/2015,en,1325341399
Minions,1156730962,74000000,"Family, Animation, Adventure, Comedy",6/17/2015,en,1082730962
Casino Royale,599045960,150000000,"Adventure, Action, Thriller",11/14/2006,en,449045960
The Fifth Element,263920180,90000000,"Adventure, Fantasy, Action, Thriller, Science Fiction",5/2/1997,en,173920180
Slumdog Millionaire,378410542,15000000,"Drama, Romance",11/12/2008,en,363410542
Monsters University,743559607,200000000,"Animation, Family",6/19/2013,en,543559607
Limitless,161849455,27000000,"Thriller, Mystery, Science Fiction",3/8/2011,en,134849455
Spectre,880674609,245000000,"Action, Adventure, Thriller",10/26/2015,en,635674609
The Perks of Being a Wallflower,33400000,13000000,Drama,9/20/2012,en,20400000
Jumanji,262821940,65000000,"Adventure, Fantasy, Family",12/15/1995,en,197821940
Avatar: The Way of Water,2320250281,460000000,"Science Fiction, Adventure, Action",12/14/2022,en,1860250281
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,180000000,"Adventure, Family, Fantasy",12/7/2005,en,565013115
American Psycho,34266564,7000000,"Thriller, Drama, Crime",4/13/2000,en,27266564
X-Men Origins: Wolverine,373062864,150000000,"Adventure, Action, Thriller, Science Fiction",4/28/2009,en,223062864
The Hangover Part II,586764305,80000000,Comedy,5/25/2011,en,506764305
Sherlock Holmes: A Game of Shadows,334615000,125000000,"Adventure, Action, Crime, Mystery",11/22/2011,en,209615000
The Fate of the Furious,1236005118,250000000,"Action, Crime, Thriller",4/12/2017,en,986005118
John Wick: Chapter 3 - Parabellum,326709727,55000000,"Action, Thriller, Crime",5/15/2019,en,271709727
Kong: Skull Island,566652812,185000000,"Action, Adventure, Fantasy",3/8/2017,en,381652812
Back to the Future Part III,244527583,40000000,"Adventure, Comedy, Science Fiction",5/25/1990,en,204527583
Men in Black 3,624026776,225000000,"Action, Comedy, Science Fiction",5/23/2012,en,399026776
Maze Runner: The Scorch Trials,312296056,61000000,"Science Fiction, Action, Thriller, Adventure",9/9/2015,en,251296056
Full Metal Jacket,46357676,30000000,"Drama, War",6/26/1987,en,16357676
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),205372791,75000000,"Action, Crime",2/5/2020,en,130372791
One Flew Over the Cuckoo's Nest,108981275,3000000,Drama,11/19/1975,en,105981275
21 Jump Street,201585328,42000000,"Action, Comedy, Crime",3/14/2012,en,159585328
Looper,47042000,30000000,"Action, Thriller, Science Fiction",9/26/2012,en,17042000
The Usual Suspects,23341568,6000000,"Drama, Crime, Thriller",7/19/1995,en,17341568
Zodiac,84785914,65000000,"Crime, Drama, Mystery, Thriller",3/2/2007,en,19785914
Mr. & Mrs. Smith,487287646,110000000,"Action, Comedy, Drama, Thriller",6/7/2005,en,377287646
Kingsman: The Golden Circle,410902662,104000000,"Action, Adventure, Comedy",9/20/2017,en,306902662
Jaws,470653000,7000000,"Horror, Thriller, Adventure",6/20/1975,en,463653000
